"identifiant";"prenom";"nom";"region";"departement";"numero_circonscription";"profession";"groupe_politique_complet";"groupe_politique_abrege"
"842125";"Thomas";"Lam";"Ile-de-France";"Hauts-de-Seine";"2";"(23) - Chef d'entreprise de 10 salariés ou plus";"Horizons & Indépendants";"HOR"
"720560";"Perrine";"Goulet";"Bourgogne-Franche-Comté";"Niévre";"1";"Autre cadre (secteur privé)";"Les Démocrates";"Dem"
"721270";"Stéphane";"Peu";"Ile-de-France";"Seine-Saint-Denis";"2";"Employé";"Gauche Démocrate et Républicaine";"GDR"
"719938";"Marc";"Fesneau";"Centre-Val de Loire";"Loir-et-Cher";"1";"Ministre";"Les Démocrates";"Dem"
"719578";"Loéc";"Prud'homme";"Nouvelle-Aquitaine";"Gironde";"3";"Fonctionnaire de catégorie B";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"841981";"Catherine";"Rimbert";"Provence-Alpes-Céte d'Azur";"Vaucluse";"5";"(31) - Profession libérale";"Rassemblement National";"RN"
"841215";"Marie";"Mesmeur";"Bretagne";"Ille-et-Vilaine";"1";"Educatrice spécialisée";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"722134";"Jean-Marie";"Fiévet";"Nouvelle-Aquitaine";"Deux-Sévres";"3";"Fonctionnaire de catégorie B";"Ensemble pour la République";"EPR"
"795156";"Fatiha";"Keloua Hachi";"Ile-de-France";"Seine-Saint-Denis";"8";"Professeur, profession scientifique";"Socialistes et apparentés";"SOC"
"796018";"Danielle";"Simonnet";"Ile-de-France";"Paris";"15";"Professeur, profession scientifique";"écologiste et Social";"EcoS"
"266797";"Philippe";"Gosselin";"Normandie";"Manche";"1";"Maétre de conférences é Sciences Po";"Droite Républicaine";"DR"
"774958";"Gérard";"Leseul";"Normandie";"Seine-Maritime";"5";"Cadre d'entreprise / enseignant universitaire";"Socialistes et apparentés";"SOC"
"793816";"Mélanie";"Thomin";"Bretagne";"Finistére";"6";"Professeur, profession scientifique";"Socialistes et apparentés";"SOC"
"721896";"Elsa";"Faucillon";"Ile-de-France";"Hauts-de-Seine";"1";"Employée du secteur privé";"Gauche Démocrate et Républicaine";"GDR"
"1567";"Jéréme";"Guedj";"Ile-de-France";"Essonne";"6";"Inspecteur général des affaires sociales";"Socialistes et apparentés";"SOC"
"643175";"Stella";"Dupont";"Pays de la Loire";"Maine-et-Loire";"2";"Comptable";"Non inscrit";"NI"
"722390";"Josiane";"Corneloup";"Bourgogne-Franche-Comté";"Saéne-et-Loire";"2";"Pharmacien";"Droite Républicaine";"DR"
"722142";"Franéois";"Ruffin";"Hauts-de-France";"Somme";"1";"Reporter";"écologiste et Social";"EcoS"
"795084";"Rodrigo";"Arenas";"Ile-de-France";"Paris";"10";"Cadre de la fonction publique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"805166";"Anne";"Bergantz";"Ile-de-France";"Yvelines";"2";"responsable de service social";"Les Démocrates";"Dem"
"793664";"Marie";"Pochon";"Auvergne-Rhéne-Alpes";"Dréme";"3";"Responsable associative";"écologiste et Social";"EcoS"
"795046";"Caroline";"Yadan";"Franéais établis hors de France";"Franéais établis hors de France";"8";"Avocat";"Ensemble pour la République";"EPR"
"721852";"Marie";"Lebec";"Ile-de-France";"Yvelines";"4";"Consultante en affaires publiques";"Ensemble pour la République";"EPR"
"606573";"Fanny";"Dombre Coste";"Occitanie";"Hérault";"3";"Artisan Photographe";"Socialistes et apparentés";"SOC"
"794830";"Hubert";"Ott";"Grand Est";"Haut-Rhin";"2";"Professeur, profession scientifique";"Les Démocrates";"Dem"
"793744";"Anne";"Stambach-Terrenoir";"Occitanie";"Haute-Garonne";"2";"Professeure de piano";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"795164";"Aurélie";"Trouvé";"Ile-de-France";"Seine-Saint-Denis";"9";"Cadre de la fonction publique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"721426";"Véronique";"Riotton";"Auvergne-Rhéne-Alpes";"Haute-Savoie";"1";"Consultante-Coach en Ressources Humaines";"Ensemble pour la République";"EPR"
"331973";"Pascale";"Got";"Nouvelle-Aquitaine";"Gironde";"5";"Journaliste";"Socialistes et apparentés";"SOC"
"840979";"Corentin";"Le Fur";"Bretagne";"Cétes-d'Armor";"3";"(37) - Cadre administratif et commercial d'entreprise";"Droite Républicaine";"DR"
"840143";"Guillaume";"Florquin";"Hauts-de-France";"Nord";"20";"(33) - Cadre de la fonction publique";"Rassemblement National";"RN"
"342384";"élisa";"Martin";"Auvergne-Rhéne-Alpes";"Isére";"3";"Professeur, profession scientifique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"794702";"Delphine";"Lingemann";"Auvergne-Rhéne-Alpes";"Puy-de-Déme";"4";"Chef d'entreprise - Enseignante associée université";"Les Démocrates";"Dem"
"840857";"Nadine";"Lechon";"Nouvelle-Aquitaine";"Dordogne";"1";"(12) - Agriculteur sur moyenne exploitation";"Rassemblement National";"RN"
"643089";"Jean-Louis";"Thiériot";"Ile-de-France";"Seine-et-Marne";"3";"Avocat";"Droite Républicaine";"DR"
"795244";"Stéphane";"Lenormand";"Saint-Pierre-et-Miquelon";"Saint-Pierre-et-Miquelon";"1";"Ancien cadre";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"267780";"Agnés";"Firmin Le Bodo";"Normandie";"Seine-Maritime";"7";"Pharmacien";"Horizons & Indépendants";"HOR"
"719558";"Erwan";"Balanant";"Bretagne";"Finistére";"8";"Photographe et réalisateur";"Les Démocrates";"Dem"
"796050";"Philippe";"Schreck";"Provence-Alpes-Céte d'Azur";"Var";"8";"Profession libérale";"Rassemblement National";"RN"
"841769";"éric";"Michoux";"Bourgogne-Franche-Comté";"Saéne-et-Loire";"4";"(23) - Chef d'entreprise de 10 salariés ou plus";"UDR";"UDR"
"794554";"Salvatore";"Castiglione";"Hauts-de-France";"Nord";"21";"Directeur adjoint d'une structure associative";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"791824";"Sarah";"Legrain";"Ile-de-France";"Paris";"16";"Professeure de franéais";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"841709";"Emmanuelle";"Hoffman";"Ile-de-France";"Paris";"4";"Avocat";"Ensemble pour la République";"EPR"
"794138";"Ségoléne";"Amiot";"Pays de la Loire";"Loire-Atlantique";"3";"Employé administratif d'entreprise";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"841729";"Abdelkader";"Lahmar";"Auvergne-Rhéne-Alpes";"Rhéne";"7";"(34) - Professeur, profession scientifique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"793672";"Christine";"Loir";"Normandie";"Eure";"1";"Profession intermédiaire de la santé et du travail social";"Rassemblement National";"RN"
"721004";"Amélia";"Lakrafi";"Franéais établis hors de France";"Franéais établis hors de France";"10";"Chef d'entreprise";"Ensemble pour la République";"EPR"
"794590";"Alexandre";"Loubet";"Grand Est";"Moselle";"7";"Cadre d'entreprise";"Rassemblement National";"RN"
"721916";"Natalia";"Pouzyreff";"Ile-de-France";"Yvelines";"6";"Ingénieure";"Ensemble pour la République";"EPR"
"721314";"Raphaél";"Schellenberger";"Grand Est";"Haut-Rhin";"4";"(33) - Cadre de la fonction publique";"Non inscrit";"NI"
"795176";"Nicolas";"Metzdorf";"Nouvelle-Calédonie";"Nouvelle-Calédonie";"1";"Ingénieur et cadre technique d'entreprise";"Ensemble pour la République";"EPR"
"793218";"Jordan";"Guitton";"Grand Est";"Aube";"1";"Assistant Parlementaire";"Rassemblement National";"RN"
"608264";"Colette";"Capdevielle";"Nouvelle-Aquitaine";"Pyrénées-Atlantiques";"5";"Avocate";"Socialistes et apparentés";"SOC"
"840765";"Laurent";"Lhardit";"Provence-Alpes-Céte d'Azur";"Bouches-du-Rhéne";"2";"Chef d'entreprise";"Socialistes et apparentés";"SOC"
"588884";"Clémentine";"Autain";"Ile-de-France";"Seine-Saint-Denis";"11";"Journaliste et autre média";"écologiste et Social";"EcoS"
"842211";"Béatrice";"Bellay";"Martinique";"Martinique";"3";"(33) - Cadre de la fonction publique";"Socialistes et apparentés";"SOC"
"721442";"Christelle";"Petex";"Auvergne-Rhéne-Alpes";"Haute-Savoie";"3";"Cadre administratif et commercial d'entreprise";"Droite Républicaine";"DR"
"794478";"David";"Guiraud";"Hauts-de-France";"Nord";"8";"Cadre administratif d'entreprise";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"720092";"Richard";"Ramos";"Centre-Val de Loire";"Loiret";"6";"Autre cadre (secteur privé)";"Les Démocrates";"Dem"
"642695";"éric";"Bothorel";"Bretagne";"Cétes-d'Armor";"5";"Cadre supérieur (secteur privé)";"Ensemble pour la République";"EPR"
"840673";"Valérie";"Rossi";"Provence-Alpes-Céte d'Azur";"Hautes-Alpes";"2";"(37) - Cadre administratif et commercial d'entreprise";"Socialistes et apparentés";"SOC"
"720668";"Emmanuel";"Blairy";"Hauts-de-France";"Pas-de-Calais";"1";"Fonctionnaire territorial";"Rassemblement National";"RN"
"721474";"Stéphane";"Viry";"Grand Est";"Vosges";"1";"Avocat";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"720720";"Josy";"Poueyto";"Nouvelle-Aquitaine";"Pyrénées-Atlantiques";"1";"Retraitée de la fonction publique (hors enseignement)";"Les Démocrates";"Dem"
"840869";"Florence";"Joubert";"Nouvelle-Aquitaine";"Dordogne";"3";"(33) - Cadre de la fonction publique";"Rassemblement National";"RN"
"793394";"Arthur";"Delaporte";"Normandie";"Calvados";"2";"Professeur, profession scientifique";"Socialistes et apparentés";"SOC"
"720952";"Aurélien";"Taché";"Ile-de-France";"Val-d'Oise";"10";"Fonctionnaire de catégorie A";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"794734";"Michel";"Guiniot";"Hauts-de-France";"Oise";"6";"Ancien cadre";"Rassemblement National";"RN"
"2952";"Jean-Luc";"Warsmann";"Grand Est";"Ardennes";"3";"Directeur de mutuelle";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"795888";"Marie-Ange";"Rousselot";"Franéais établis hors de France";"Franéais établis hors de France";"6";"Cheffe d'entreprise";"Ensemble pour la République";"EPR"
"942";"Charles";"de Courson";"Grand Est";"Marne";"5";"Conseiller référendaire honoraire é la Cour des comptes";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"842323";"Remi";"Provendier";"Franéais établis hors de France";"Franéais établis hors de France";"11";"Ingénieur";"Ensemble pour la République";"EPR"
"840721";"Marc";"Chavent";"Auvergne-Rhéne-Alpes";"Ain";"5";"(33) - Cadre de la fonction publique";"UDR";"UDR"
"610968";"Pouria";"Amirshahi";"Ile-de-France";"Paris";"5";"Cadre territorial de catégorie A";"écologiste et Social";"EcoS"
"721750";"Céline";"Calvez";"Ile-de-France";"Hauts-de-Seine";"5";"Consultante communication";"Ensemble pour la République";"EPR"
"841327";"Fabrice";"Roussel";"Pays de la Loire";"Loire-Atlantique";"5";"(34) - Professeur, profession scientifique";"Socialistes et apparentés";"SOC"
"793616";"Kévin";"Mauvieux";"Normandie";"Eure";"3";"Conseiller en assurance";"Rassemblement National";"RN"
"333285";"Guillaume";"Garot";"Pays de la Loire";"Mayenne";"1";"Cadre administratif";"Socialistes et apparentés";"SOC"
"722284";"Bruno";"Fuchs";"Grand Est";"Haut-Rhin";"6";"Chef d'entreprise";"Les Démocrates";"Dem"
"794206";"Christophe";"Marion";"Centre-Val de Loire";"Loir-et-Cher";"3";"Délégué général du Comité des travaux historiques et scientifiques";"Ensemble pour la République";"EPR"
"795258";"Frantz";"Gumbs";"Saint-Barthélemy et Saint-Martin";"Saint-Barthélemy et Saint-Martin";"1";"Personnel de direction de l'éducation nationale retraité";"Les Démocrates";"Dem"
"793464";"Sébastien";"Delogu";"Provence-Alpes-Céte d'Azur";"Bouches-du-Rhéne";"7";"Sans profession";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"795278";"Béatrice";"Bellamy";"Pays de la Loire";"Vendée";"2";"Cadre administratif et commercial d'entreprise";"Horizons & Indépendants";"HOR"
"342196";"Claudia";"Rouaux";"Bretagne";"Ille-et-Vilaine";"3";"Gestionnaire é l'INRAE";"Socialistes et apparentés";"SOC"
"794870";"Sylvie";"Ferrer";"Occitanie";"Hautes-Pyrénées";"1";"(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"793452";"Hendrik";"Davi";"Provence-Alpes-Céte d'Azur";"Bouches-du-Rhéne";"5";"Professeur, profession scientifique";"écologiste et Social";"EcoS"
"795868";"Jean-Victor";"Castor";"Guyane";"Guyane";"1";"Cadre technique d'entreprise";"Gauche Démocrate et Républicaine";"GDR"
"607846";"Gérald";"Darmanin";"Hauts-de-France";"Nord";"10";"Cadre supérieur du secteur privé";"Ensemble pour la République";"EPR"
"687214";"Sylvain";"Berrios";"Ile-de-France";"Val-de-Marne";"1";"(33) - Cadre de la fonction publique";"Horizons & Indépendants";"HOR"
"841367";"Christophe";"Proenéa";"Occitanie";"Lot";"2";"(34) - Professeur, profession scientifique";"Socialistes et apparentés";"SOC"
"607395";"Stéphane";"Travert";"Normandie";"Manche";"3";"Cadre secteur privé";"Ensemble pour la République";"EPR"
"793342";"Alexandra";"Martin";"Provence-Alpes-Céte d'Azur";"Alpes-Maritimes";"8";"Employé civil et agent de service de la fonction publique";"Droite Républicaine";"DR"
"721486";"Christophe";"Naegelen";"Grand Est";"Vosges";"3";"Industriel-Chef d'entreprise";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"1592";"David";"Habib";"Nouvelle-Aquitaine";"Pyrénées-Atlantiques";"3";"Cadre";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"841419";"Damien";"Girard";"Bretagne";"Morbihan";"5";"(38) - Ingénieur et cadre technique d'entreprise";"écologiste et Social";"EcoS"
"842037";"Bérenger";"Cernon";"Ile-de-France";"Essonne";"8";"(65) - Ouvrier qualifié de la manutention, du magasinage et du transport";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"720138";"Laetitia";"Saint-Paul";"Pays de la Loire";"Maine-et-Loire";"4";"Officier de l'armée de Terre";"Horizons & Indépendants";"HOR"
"840829";"Fabrice";"Barusseau";"Nouvelle-Aquitaine";"Charente-Maritime";"3";"(34) - Professeur, profession scientifique";"Socialistes et apparentés";"SOC"
"643143";"Christian";"Baptiste";"Guadeloupe";"Guadeloupe";"2";"Directeur d'association";"Socialistes et apparentés";"SOC"
"841955";"Matthias";"Renault";"Hauts-de-France";"Somme";"3";"(37) - Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"643192";"Chantal";"Jourdan";"Normandie";"Orne";"1";"Psychologue";"Socialistes et apparentés";"SOC"
"718884";"Valérie";"Bazin-Malgras";"Grand Est";"Aube";"2";"Commeréante";"Droite Républicaine";"DR"
"719918";"Fabien";"Lainé";"Nouvelle-Aquitaine";"Landes";"1";"Cadre commercial bétiment";"Les Démocrates";"Dem"
"794426";"Anne";"Le Hénanff";"Bretagne";"Morbihan";"1";"Consultante indépendante";"Horizons & Indépendants";"HOR"
"793892";"Stéphanie";"Galzy";"Occitanie";"Hérault";"5";"Employé administratif d'entreprise";"Rassemblement National";"RN"
"793174";"Yannick";"Monnet";"Auvergne-Rhéne-Alpes";"Allier";"1";"Cadre de la fonction publique";"Gauche Démocrate et Républicaine";"GDR"
"795920";"Prisca";"Thevenot";"Ile-de-France";"Hauts-de-Seine";"8";"Collaboratrice parlementaire";"Ensemble pour la République";"EPR"
"720038";"Sandrine";"Josso";"Pays de la Loire";"Loire-Atlantique";"7";"Autre profession libérale";"Les Démocrates";"Dem"
"267042";"Yannick";"Favennec-Bécot";"Pays de la Loire";"Mayenne";"3";"Directeur de cabinet";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"794106";"Andrée";"Taurinya";"Auvergne-Rhéne-Alpes";"Loire";"2";"Professeur, profession scientifique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"309643";"Véronique";"Besse";"Pays de la Loire";"Vendée";"4";"Journaliste";"Non inscrit";"NI"
"719756";"Christine";"Le Nabour";"Bretagne";"Ille-et-Vilaine";"5";"Employée (secteur privé)";"Ensemble pour la République";"EPR"
"794802";"Charles";"Sitzenstuhl";"Grand Est";"Bas-Rhin";"5";"Cadre de la fonction publique";"Ensemble pour la République";"EPR"
"794022";"Jérémie";"Iordanoff";"Auvergne-Rhéne-Alpes";"Isére";"5";"Artiste-peintre";"écologiste et Social";"EcoS"
"721234";"Maud";"Petit";"Ile-de-France";"Val-de-Marne";"4";"Chargée de ressources humaines";"Les Démocrates";"Dem"
"794354";"Héléne";"Laporte";"Nouvelle-Aquitaine";"Lot-et-Garonne";"2";"Analyste bancaire";"Rassemblement National";"RN"
"335758";"Franck";"Riester";"Ile-de-France";"Seine-et-Marne";"5";"Chef d'entreprise";"Ensemble pour la République";"EPR"
"841091";"Arnaud";"Simion";"Occitanie";"Haute-Garonne";"6";"(33) - Cadre de la fonction publique";"Socialistes et apparentés";"SOC"
"608172";"Christine";"Pirés Beaune";"Auvergne-Rhéne-Alpes";"Puy-de-Déme";"2";"Fonctionnaire de catégorie A";"Socialistes et apparentés";"SOC"
"340343";"Hervé";"Saulignac";"Auvergne-Rhéne-Alpes";"Ardéche";"1";"Cadre (entreprises publiques)";"Socialistes et apparentés";"SOC"
"795540";"Daniel";"Grenon";"Bourgogne-Franche-Comté";"Yonne";"1";"Ancien artisan, commeréant, chef d'entreprise";"Non inscrit";"NI"
"720362";"Belkhir";"Belhaddad";"Grand Est";"Moselle";"1";"Industriel-Chef d'entreprise";"Ensemble pour la République";"EPR"
"719286";"Paul-André";"Colombani";"Corse";"Corse-du-Sud";"2";"Médecin";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"774960";"Isabelle";"Santiago";"Ile-de-France";"Val-de-Marne";"9";"Cadre territorial";"Socialistes et apparentés";"SOC"
"795746";"Antoine";"Léaument";"Ile-de-France";"Essonne";"10";"Responsable de la communication numérique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"720154";"Nicole";"Dubré-Chirat";"Pays de la Loire";"Maine-et-Loire";"6";"Retraitée de la fonction publique hospitaliére et chargée de formation";"Ensemble pour la République";"EPR"
"794982";"Julie";"Delpech";"Pays de la Loire";"Sarthe";"1";"Chargée de communication";"Ensemble pour la République";"EPR"
"569";"Philippe";"Bonnecarrére";"Occitanie";"Tarn";"1";"Avocat";"Non inscrit";"NI"
"794418";"Florence";"Goulet";"Grand Est";"Meuse";"2";"Cadre de la fonction publique";"Rassemblement National";"RN"
"795636";"Benjamin";"Lucas-Lundy";"Ile-de-France";"Yvelines";"8";"(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r";"écologiste et Social";"EcoS"
"719778";"Franéois";"Jolivet";"Centre-Val de Loire";"Indre";"1";"Cadre supérieur (secteur privé)";"Horizons & Indépendants";"HOR"
"719024";"Christophe";"Blanchet";"Normandie";"Calvados";"4";"Commeréant";"Les Démocrates";"Dem"
"841837";"Robert";"Le Bourgeois";"Normandie";"Seine-Maritime";"10";"(37) - Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"841471";"Stéphane";"Hablot";"Grand Est";"Meurthe-et-Moselle";"2";"Education nationale";"Socialistes et apparentés";"SOC"
"795596";"Paul";"Vannier";"Ile-de-France";"Val-d'Oise";"5";"Professeur d'histoire-géographie";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"719968";"Sylvie";"Bonnet";"Auvergne-Rhéne-Alpes";"Loire";"4";"Collaboratrice parlementaire";"Droite Républicaine";"DR"
"795026";"Anne-Cécile";"Violland";"Auvergne-Rhéne-Alpes";"Haute-Savoie";"5";"Profession libérale";"Horizons & Indépendants";"HOR"
"841017";"Harold";"Huwart";"Centre-Val de Loire";"Eure-et-Loir";"3";"Administrateur de l'état";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"721816";"Ian";"Boucard";"Bourgogne-Franche-Comté";"Territoire de Belfort";"1";"Autre cadre (secteur privé)";"Droite Républicaine";"DR"
"794718";"Christine";"Engrand";"Hauts-de-France";"Pas-de-Calais";"6";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"794038";"Yannick";"Neuder";"Auvergne-Rhéne-Alpes";"Isére";"7";"Cardiologue";"Droite Républicaine";"DR"
"793716";"Laurent";"Croizier";"Bourgogne-Franche-Comté";"Doubs";"1";"Professeur des écoles, instituteur et assimilé";"Les Démocrates";"Dem"
"795466";"Ersilia";"Soudais";"Ile-de-France";"Seine-et-Marne";"7";"Professeur, profession scientifique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"642764";"Joél";"Aviragnet";"Occitanie";"Haute-Garonne";"8";"Directeur d'un établissement pour l'enfance handicapée";"Socialistes et apparentés";"SOC"
"841047";"Franéois-Xavier";"Ceccoli";"Corse";"Haute-Corse";"2";"(23) - Chef d'entreprise de 10 salariés ou plus";"Droite Républicaine";"DR"
"736201";"Sophie";"Taillé-Polian";"Ile-de-France";"Val-de-Marne";"11";"Cadre de la fonction publique";"écologiste et Social";"EcoS"
"722150";"Sacha";"Houlié";"Nouvelle-Aquitaine";"Vienne";"2";"Avocat";"Non inscrit";"NI"
"795100";"éric";"Martineau";"Pays de la Loire";"Sarthe";"3";"Agriculteur sur moyenne exploitation";"Les Démocrates";"Dem"
"719080";"Sandra";"Marsaud";"Nouvelle-Aquitaine";"Charente";"2";"Cadre (entreprises publiques)";"Ensemble pour la République";"EPR"
"795974";"Philippe";"Lottiaux";"Provence-Alpes-Céte d'Azur";"Var";"4";"Cadre de la fonction publique";"Rassemblement National";"RN"
"722366";"Jean-Luc";"Fugit";"Auvergne-Rhéne-Alpes";"Rhéne";"11";"Professeur de faculté";"Ensemble pour la République";"EPR"
"840939";"Océane";"Godard";"Bourgogne-Franche-Comté";"Céte-d'Or";"1";"Psychologue du travail";"Socialistes et apparentés";"SOC"
"720614";"Marine";"Le Pen";"Hauts-de-France";"Pas-de-Calais";"11";"Avocate";"Rassemblement National";"RN"
"722046";"Aurore";"Bergé";"Ile-de-France";"Yvelines";"10";"Cadre supérieur (secteur privé)";"Ensemble pour la République";"EPR"
"793980";"Charles";"Fournier";"Centre-Val de Loire";"Indre-et-Loire";"1";"Consultant, formateur";"écologiste et Social";"EcoS"
"841665";"Denis";"Fégné";"Occitanie";"Hautes-Pyrénées";"2";"(74) - Ancien cadre";"Socialistes et apparentés";"SOC"
"795350";"Frédéric";"Valletoux";"Ile-de-France";"Seine-et-Marne";"2";"Profession de l'information";"Horizons & Indépendants";"HOR"
"719436";"Nicolas";"Meizonnet";"Occitanie";"Gard";"2";"Ingénieur en informatique";"Rassemblement National";"RN"
"840781";"Romain";"Tonussi";"Provence-Alpes-Céte d'Azur";"Bouches-du-Rhéne";"8";"(45) - Profession intermédiaire administrative de la fonction publique";"Rassemblement National";"RN"
"795616";"Carlos Martens";"Bilongo";"Ile-de-France";"Val-d'Oise";"8";"Professeur, profession scientifique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"643157";"Philippe";"Naillet";"Réunion";"Réunion";"1";"Inspecteur assurance-vie";"Socialistes et apparentés";"SOC"
"717379";"Sylvain";"Maillard";"Ile-de-France";"Paris";"1";"Industriel-Chef d'entreprise";"Ensemble pour la République";"EPR"
"719388";"Annaég";"Le Meur";"Bretagne";"Finistére";"1";"Autre profession libérale";"Ensemble pour la République";"EPR"
"841539";"Julien";"Gokel";"Hauts-de-France";"Nord";"13";"(45) - Profession intermédiaire administrative de la fonction publique";"Socialistes et apparentés";"SOC"
"722374";"Cyrille";"Isaac-Sibille";"Auvergne-Rhéne-Alpes";"Rhéne";"12";"Médecin";"Les Démocrates";"Dem"
"795010";"Marie-Charlotte";"Garin";"Auvergne-Rhéne-Alpes";"Rhéne";"3";"Collaboratrice politique en collectivité locale";"écologiste et Social";"EcoS"
"841693";"Jean";"Laussucq";"Ile-de-France";"Paris";"2";"(33) - Cadre de la fonction publique";"Ensemble pour la République";"EPR"
"840889";"Matthieu";"Bloch";"Bourgogne-Franche-Comté";"Doubs";"3";"(37) - Cadre administratif et commercial d'entreprise";"UDR";"UDR"
"842311";"Vincent";"Caure";"Franéais établis hors de France";"Franéais établis hors de France";"3";"(33) - Cadre de la fonction publique";"Ensemble pour la République";"EPR"
"793572";"Christophe";"Plassard";"Nouvelle-Aquitaine";"Charente-Maritime";"5";"Profession libérale";"Horizons & Indépendants";"HOR"
"795762";"Elie";"Califer";"Guadeloupe";"Guadeloupe";"4";"Ancien cadre";"Socialistes et apparentés";"SOC"
"793322";"Christelle";"D'Intorni";"Provence-Alpes-Céte d'Azur";"Alpes-Maritimes";"5";"Avocate";"UDR";"UDR"
"793844";"Pascale";"Bordes";"Occitanie";"Gard";"3";"Profession libérale";"Rassemblement National";"RN"
"720644";"Jéréme";"Nury";"Normandie";"Orne";"3";"Cadre de la fonction publique";"Droite Républicaine";"DR"
"793238";"Christophe";"Barthés";"Occitanie";"Aude";"1";"Agriculteur sur moyenne exploitation";"Rassemblement National";"RN"
"267318";"Jean-Carles";"Grelier";"Pays de la Loire";"Sarthe";"5";"Avocat";"Les Démocrates";"Dem"
"720342";"Nicole";"Le Peih";"Bretagne";"Morbihan";"3";"Agricultrice";"Ensemble pour la République";"EPR"
"796034";"Frank";"Giletti";"Provence-Alpes-Céte d'Azur";"Var";"6";"Fonctionnaire";"Rassemblement National";"RN"
"722190";"Gabriel";"Attal";"Ile-de-France";"Hauts-de-Seine";"10";"Consultant";"Ensemble pour la République";"EPR"
"841339";"Jean-Michel";"Brard";"Pays de la Loire";"Loire-Atlantique";"9";"(22) - Commeréant et assimilé";"Horizons & Indépendants";"HOR"
"840955";"Pierre";"Pribetich";"Bourgogne-Franche-Comté";"Céte-d'Or";"3";"(34) - Professeur, profession scientifique";"Socialistes et apparentés";"SOC"
"840119";"Sandra";"Delannoy";"Hauts-de-France";"Nord";"3";"(21) - Artisan";"Rassemblement National";"RN"
"794762";"Sandrine";"Dogor-Such";"Occitanie";"Pyrénées-Orientales";"3";"Préparatrice en pharmacie";"Rassemblement National";"RN"
"719118";"Franéois";"Cormier-Bouligeon";"Centre-Val de Loire";"Cher";"1";"Juriste";"Ensemble pour la République";"EPR"
"793872";"Nathalie";"Oziol";"Occitanie";"Hérault";"2";"Professeur, profession scientifique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"342240";"Jean-Luc";"Bourgeaux";"Bretagne";"Ille-et-Vilaine";"7";"Agriculteur";"Droite Républicaine";"DR"
"793362";"José";"Gonzalez";"Provence-Alpes-Céte d'Azur";"Bouches-du-Rhéne";"10";"Ancien employé";"Rassemblement National";"RN"
"842227";"Joseph";"Riviére";"Réunion";"Réunion";"3";"(45) - Profession intermédiaire administrative de la fonction publique";"Rassemblement National";"RN"
"722102";"Annie";"Vidal";"Normandie";"Seine-Maritime";"2";"Retraitée de la fonction publique hospitaliére";"Ensemble pour la République";"EPR"
"267763";"Jean-Pierre";"Bataille";"Hauts-de-France";"Nord";"15";"Pharmacien";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"721296";"Guillaume";"Gouffier Valente";"Ile-de-France";"Val-de-Marne";"6";"Manager public";"Ensemble pour la République";"EPR"
"841381";"Sophie";"Pantel";"Occitanie";"Lozére";"1";"(45) - Profession intermédiaire administrative de la fonction publique";"Socialistes et apparentés";"SOC"
"841515";"Aurélien";"Le Coq";"Hauts-de-France";"Nord";"1";"(54) - Employé administratif d'entreprise";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"330240";"éric";"Ciotti";"Provence-Alpes-Céte d'Azur";"Alpes-Maritimes";"1";"(33) - Cadre de la fonction publique";"UDR";"UDR"
